bearID,Seal,Beluga,Walrus,Bodycond,Sex,Ageclass,Year,Era,Region,Lat,Long
BEAR0501,69.99,24.05,5.96,94.04,M,Subadult,2006,Mid,West,70.52,-127.65
BEAR0502,39.72,58.39,1.88,86.54,F,Subadult,2006,Mid,West,70.35,-127.32
BEAR0503,44.4,55.58,0.01,92.34,M,Subadult,2006,Mid,Central,71.18,-122.54
BEAR0504,54.92,43.69,1.39,96.43,M,Adult,2006,Mid,Central,71.69,-124.76
BEAR0505,52.45,43.8,3.75,85.62,M,Adult,2006,Mid,Central,71.69,-124.77
BEAR0506,36.4,59.47,4.13,84.54,M,Adult,2006,Mid,Central,71.7,-124.8
BEAR0509,62.15,35.72,2.12,69.06,M,Subadult,2006,Mid,Central,71.68,-124.72
BEAR0511,62.83,34.92,2.25,84.23,M,Subadult,2006,Mid,Central,71.85,-125.08
BEAR0512,69.71,14.31,15.98,87.62,M,Adult,2006,Mid,Central,71.83,-125.05
BEAR0515,30.96,69.04,0,82.11,M,Adult,2006,Mid,Central,70.9,-118.22
BEAR0516,68.34,27.89,3.78,94.01,M,Subadult,2006,Mid,Central,71.58,-120.58
BEAR0518,37.2,62.8,0,77.39,M,Cub,2006,Mid,Central,70.33,-117.25
BEAR0520,31.6,68.4,0,87.66,M,Subadult,2006,Mid,Central,70.33,-120.02
BEAR0521,43.16,56.84,0,83.32,F,Subadult,2006,Mid,Central,70.57,-117.4
BEAR0522,62.56,29.48,7.95,82.43,M,Adult,2006,Mid,Central,70.57,-117.35
BEAR0523,58.91,37.18,3.92,69.47,F,Adult,2007,Mid,Central,70.33,-123.67
BEAR0524,51.93,44.93,3.14,78.52,F,Subadult,2007,Mid,Central,70.33,-123.75
BEAR0526,61,34.11,4.89,56.84,F,Subadult,2007,Mid,Central,70.78,-117.95
BEAR0532,74.15,13.02,6.09,59.03,M,Adult,2007,Mid,Central,70.38,-117.75
BEAR0533,44.84,53.26,1.9,75.16,M,Adult,2007,Mid,Central,71.94,-125.93
BEAR0536,62.31,36.45,1.24,74.52,M,Cub,2007,Mid,Central,72.07,-126.22
